"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 09 02:14:25 GMT 2025","Wed Apr 09 02:14:25 GMT 2025","41","","tests.TransferScenariosParameterizedTests","","tests.TransferScenariosParameterizedTests","should_handle_multiple_transfer_scenarios","Should handle multiple transfers: Valid transfer",""
"passed","Wed Apr 09 02:14:23 GMT 2025","Wed Apr 09 02:14:24 GMT 2025","1352","","tests.TransactionDetailsTests","","tests.TransactionDetailsTests","shouldReturnTransactionDetails_whenTransactionExists","Should return transaction details when transaction exists",""
"passed","Wed Apr 09 02:14:27 GMT 2025","Wed Apr 09 02:14:28 GMT 2025","168","chromium","transfer.spec.ts","Banking Application","","","should load the home page",""
"passed","Wed Apr 09 02:14:31 GMT 2025","Wed Apr 09 02:14:31 GMT 2025","139","chromium","transfer.spec.ts","Banking Application","","","should show error for invalid transfer",""
"passed","Wed Apr 09 02:14:25 GMT 2025","Wed Apr 09 02:14:25 GMT 2025","384","","tests.FundTransferTests","","tests.FundTransferTests","shouldTransferFundsSuccessfully_whenDataIsValid","Should transfer funds successfully when data is valid",""
"passed","Wed Apr 09 02:14:25 GMT 2025","Wed Apr 09 02:14:25 GMT 2025","18","","tests.TransferScenariosParameterizedTests","","tests.TransferScenariosParameterizedTests","should_handle_multiple_transfer_scenarios","Should handle multiple transfers: Zero amount",""
"passed","Wed Apr 09 02:14:25 GMT 2025","Wed Apr 09 02:14:25 GMT 2025","19","","tests.TransferScenariosParameterizedTests","","tests.TransferScenariosParameterizedTests","should_handle_multiple_transfer_scenarios","Should handle multiple transfers: Self-transfer",""
"passed","Wed Apr 09 02:14:25 GMT 2025","Wed Apr 09 02:14:25 GMT 2025","42","","tests.AccountBalanceTests","","tests.AccountBalanceTests","shouldReturnAccountBalance_whenAccountIdIsValid","Should return account balance when account ID is valid",""
"passed","Wed Apr 09 02:14:25 GMT 2025","Wed Apr 09 02:14:25 GMT 2025","23","","tests.TransferScenariosParameterizedTests","","tests.TransferScenariosParameterizedTests","should_handle_multiple_transfer_scenarios","Should handle multiple transfers: Invalid to_account",""
"passed","Wed Apr 09 02:14:31 GMT 2025","Wed Apr 09 02:14:31 GMT 2025","129","chromium","transfer.spec.ts","Banking Application","","","should perform a transfer",""
